scenario,distribution,implementation,n,trial,seed,operations,elapsed_ns,ns_per_op,height,estimated_bytes,checksum
lookup,nearly_sorted,sorted_vector,250,5,262186798,250,11750,47.000000,,16022,8197515192502866606
lookup,nearly_sorted,sorted_vector,250,6,262187054,250,12375,49.500000,,16022,3018873824588674373
lookup,nearly_sorted,red_black_tree,250,6,262187054,250,13625,54.500000,13,18104,3018873824588674373
lookup,nearly_sorted,ordinary_bst,250,6,262187054,250,50375,201.500000,239,16024,3018873824588674373
read_heavy,random,ordinary_bst,250,0,262185841,500,25667,51.334000,50,16024,6549357703664020600
read_heavy,random,red_black_tree,250,0,262185841,500,21417,42.834000,11,18104,6549357703664020600
read_heavy,random,sorted_vector,250,0,262185841,500,32667,65.334000,,26262,6549357703664020600
read_heavy,random,red_black_tree,250,1,262185585,500,21250,42.500000,11,18104,13149548432601970137
read_heavy,random,ordinary_bst,250,1,262185585,500,20042,40.084000,48,16024,13149548432601970137
read_heavy,random,sorted_vector,250,1,262185585,500,29834,59.668000,,16022,13149548432601970137
read_heavy,random,ordinary_bst,250,2,262186353,500,20709,41.418000,53,16024,17208342125910946787
read_heavy,random,red_black_tree,250,2,262186353,500,20250,40.500000,11,18104,17208342125910946787
read_heavy,random,sorted_vector,250,2,262186353,500,30833,61.666000,,16022,17208342125910946787
read_heavy,random,ordinary_bst,250,3,262186097,500,22083,44.166000,55,16024,17139761051888097043
read_heavy,random,red_black_tree,250,3,262186097,500,20333,40.666000,11,18104,17139761051888097043
read_heavy,random,sorted_vector,250,3,262186097,500,31167,62.334000,,16022,17139761051888097043
read_heavy,random,red_black_tree,250,4,262186865,500,20459,40.918000,10,18104,6650756027925785647
read_heavy,random,sorted_vector,250,4,262186865,500,31916,63.832000,,26262,6650756027925785647
read_heavy,random,ordinary_bst,250,4,262186865,500,21917,43.834000,47,16024,6650756027925785647
read_heavy,random,ordinary_bst,250,5,262186609,500,21625,43.250000,56,16024,4426259437110642306
read_heavy,random,red_black_tree,250,5,262186609,500,20875,41.750000,11,18104,4426259437110642306
read_heavy,random,sorted_vector,250,5,262186609,500,30750,61.500000,,16022,4426259437110642306
read_heavy,random,red_black_tree,250,6,262187377,500,20334,40.668000,10,18104,13197975014455996782
read_heavy,random,sorted_vector,250,6,262187377,500,31625,63.250000,,26262,13197975014455996782
read_heavy,random,ordinary_bst,250,6,262187377,500,21041,42.082000,49,16024,13197975014455996782
update_heavy,random,ordinary_bst,250,0,262185933,500,69917,139.834000,147,16024,3379903220800001153
update_heavy,random,sorted_vector,250,0,262185933,500,61459,122.918000,,26262,3379903220800001153
update_heavy,random,red_black_tree,250,0,262185933,500,33958,67.916000,12,18104,3379903220800001153
update_heavy,random,sorted_vector,250,1,262185677,500,59209,118.418000,,26262,15796543385573129979
update_heavy,random,red_black_tree,250,1,262185677,500,34042,68.084000,11,18104,15796543385573129979
update_heavy,random,ordinary_bst,250,1,262185677,500,65042,130.084000,136,16024,15796543385573129979
update_heavy,random,sorted_vector,250,2,262186445,500,32667,65.334000,,26262,10585877493594037681
update_heavy,random,ordinary_bst,250,2,262186445,500,37791,75.582000,146,16024,10585877493594037681
update_heavy,random,red_black_tree,250,2,262186445,500,19750,39.500000,12,18104,10585877493594037681
update_heavy,random,red_black_tree,250,3,262186189,500,19833,39.666000,12,18104,11825643533815688373
update_heavy,random,sorted_vector,250,3,262186189,500,32959,65.918000,,26262,11825643533815688373
update_heavy,random,ordinary_bst,250,3,262186189,500,38667,77.334000,144,16024,11825643533815688373
update_heavy,random,red_black_tree,250,4,262186957,500,19125,38.250000,11,18104,10639485223907399437
update_heavy,random,ordinary_bst,250,4,262186957,500,64250,128.500000,143,16024,10639485223907399437
update_heavy,random,sorted_vector,250,4,262186957,500,32625,65.250000,,26262,10639485223907399437
update_heavy,random,red_black_tree,250,5,262186701,500,19458,38.916000,11,18104,16692292374931885554
update_heavy,random,ordinary_bst,250,5,262186701,500,39125,78.250000,146,16024,16692292374931885554
update_heavy,random,sorted_vector,250,5,262186701,500,34875,69.750000,,26262,16692292374931885554
update_heavy,random,red_black_tree,250,6,262187469,500,21542,43.084000,12,18104,2931541660818412378
update_heavy,random,sorted_vector,250,6,262187469,500,34208,68.416000,,26262,2931541660818412378
update_heavy,random,ordinary_bst,250,6,262187469,500,71708,143.416000,141,16024,2931541660818412378
build,sorted,sorted_vector,500,0,524329559,500,13083,26.166000,,32012,4501905892932342131
build,sorted,ordinary_bst,500,0,524329559,500,184459,368.918000,500,32024,4501905892932342131
build,sorted,red_black_tree,500,0,524329559,500,19500,39.000000,15,36104,4501905892932342131
build,sorted,red_black_tree,500,1,524329815,500,17750,35.500000,15,36104,4501905892932342131
build,sorted,ordinary_bst,500,1,524329815,500,184541,369.082000,500,32024,4501905892932342131
build,sorted,sorted_vector,500,1,524329815,500,13125,26.250000,,32012,4501905892932342131
build,sorted,red_black_tree,500,2,524330071,500,17375,34.750000,15,36104,4501905892932342131
build,sorted,ordinary_bst,500,2,524330071,500,181541,363.082000,500,32024,4501905892932342131
build,sorted,sorted_vector,500,2,524330071,500,11833,23.666000,,32012,4501905892932342131
build,sorted,sorted_vector,500,3,524330327,500,11666,23.332000,,32012,4501905892932342131
build,sorted,red_black_tree,500,3,524330327,500,15666,31.332000,15,36104,4501905892932342131
build,sorted,ordinary_bst,500,3,524330327,500,165458,330.916000,500,32024,4501905892932342131
build,sorted,ordinary_bst,500,4,524330583,500,165209,330.418000,500,32024,4501905892932342131
build,sorted,sorted_vector,500,4,524330583,500,11833,23.666000,,32012,4501905892932342131
build,sorted,red_black_tree,500,4,524330583,500,15375,30.750000,15,36104,4501905892932342131
build,sorted,ordinary_bst,500,5,524330839,500,165083,330.166000,500,32024,4501905892932342131
build,sorted,sorted_vector,500,5,524330839,500,11667,23.334000,,32012,4501905892932342131
build,sorted,red_black_tree,500,5,524330839,500,15625,31.250000,15,36104,4501905892932342131
build,sorted,ordinary_bst,500,6,524331095,500,165000,330.000000,500,32024,4501905892932342131
build,sorted,sorted_vector,500,6,524331095,500,11542,23.084000,,32012,4501905892932342131
build,sorted,red_black_tree,500,6,524331095,500,15542,31.084000,15,36104,4501905892932342131
lookup,sorted,red_black_tree,500,0,524329516,500,24791,49.582000,15,36104,10249041130393771109
